,date,route_id,service_id,trip_id,vehicle_id,patternId,direction,tripLength
28,2012-10-01 00:00:00,E,E-2,27098313,101,4,A,13331
60,2012-10-01 00:00:00,E,E-2,27098314,101,7,R,13561
89,2012-10-01 00:00:00,E,E-2,27098316,101,4,A,13331
121,2012-10-01 00:00:00,E,E-2,27098317,101,7,R,13561
150,2012-10-01 00:00:00,E,E-2,27098319,101,4,A,13331
182,2012-10-01 00:00:00,E,E-2,27098320,101,7,R,13561
211,2012-10-01 00:00:00,E,E-2,27098322,101,4,A,13331
243,2012-10-01 00:00:00,E,E-2,27098323,101,7,R,13561
272,2012-10-01 00:00:00,E,E-2,27098325,101,4,A,13331
304,2012-10-01 00:00:00,E,E-2,27098326,101,7,R,13561
333,2012-10-01 00:00:00,E,E-12,27098297,103,4,A,13331
364,2012-10-01 00:00:00,E,E-12,27098298,103,7,R,13561
393,2012-10-01 00:00:00,E,E-12,27098300,103,4,A,13331
425,2012-10-01 00:00:00,E,E-12,27098301,103,7,R,13561
454,2012-10-01 00:00:00,E,E-12,27098303,103,4,A,13331
486,2012-10-01 00:00:00,E,E-5,27098346,103,7,R,13561
515,2012-10-01 00:00:00,E,E-5,27098348,103,4,A,13331
546,2012-10-01 00:00:00,E,E-5,27098349,103,7,R,13561
578,2012-10-01 00:00:00,E,E-11,27098289,104,7,R,13561
607,2012-10-01 00:00:00,E,E-11,27098291,104,4,A,13331
639,2012-10-01 00:00:00,E,E-11,27098292,104,7,R,13561
668,2012-10-01 00:00:00,E,E-11,27098294,104,4,A,13331
697,2012-10-01 00:00:00,E,E-4,27098339,104,4,A,13331
728,2012-10-01 00:00:00,E,E-4,27098340,104,7,R,13561
757,2012-10-01 00:00:00,E,E-4,27098342,104,4,A,13331
789,2012-10-01 00:00:00,E,E-4,27098343,104,7,R,13561
818,2012-10-01 00:00:00,E,E-13,27098306,105,4,A,13331
849,2012-10-01 00:00:00,E,E-13,27098307,105,7,R,13561
878,2012-10-01 00:00:00,E,E-13,27098309,105,4,A,13331
910,2012-10-01 00:00:00,E,E-13,27098310,105,7,R,13561
939,2012-10-01 00:00:00,E,E-3,27098329,105,4,A,13331
971,2012-10-01 00:00:00,E,E-3,27098330,105,7,R,13561
1000,2012-10-01 00:00:00,E,E-3,27098332,105,4,A,13331
1032,2012-10-01 00:00:00,E,E-3,27098333,105,7,R,13561
1061,2012-10-01 00:00:00,E,E-3,27098335,105,4,A,13331
1093,2012-10-01 00:00:00,E,E-3,27098336,105,7,R,13561
1118,2012-10-01 00:00:00,22,22-21,27092177,106,32,A,10803
1142,2012-10-01 00:00:00,22,22-21,27092178,106,29,R,10902
1167,2012-10-01 00:00:00,22,22-21,27092179,106,32,A,10803
1191,2012-10-01 00:00:00,22,22-21,27092180,106,29,R,10902
1216,2012-10-01 00:00:00,22,22-21,27092181,106,32,A,10803
1240,2012-10-01 00:00:00,22,22-21,27092182,106,29,R,10902
1265,2012-10-01 00:00:00,22,22-21,27092183,106,32,A,10803
1289,2012-10-01 00:00:00,22,22-21,27092184,106,29,R,10902
1314,2012-10-01 00:00:00,22,22-21,27092185,106,32,A,10803
