stopId,stopNumber,stopName
143,2570,"Birmensdorf ZH, Sternen/WSL"
309,3356,"Waldegg, Birmensdorferstrasse"
373,6232,"Zürich Flughafen, Fracht"
588,3027,"Zürich Flughafen, Bahnhof"
623,2989,"Thalwil, Zentrum"
701,1012,"Zürich, Goldbrunnenplatz"
729,687,"Uitikon, Dorf"
751,2758,"Glattbrugg, Unterriet"
809,501,"Birmensdorf ZH, Bahnhof"
832,1401,"Kilchberg ZH, Kirche"
833,3254,"Kilchberg ZH, Hallenbad"
891,1991,"Waldegg, Post"
1010,2160,"Zürich, Schaufelbergerstrasse"
1067,992,"Glattbrugg, Zentrum"
1114,1627,"Dübendorf, Meiershofstrasse"
1259,1391,"Kilchberg ZH, Bahnhof"
1270,2680,"Zürich, Triemli"
1305,1472,"Zürich, Kunsthaus"
1306,478,"Zürich, Bezirksgebäude"
1308,736,"Zürich, ETH/Universitätsspital"
1309,564,"Zürich, Bucheggplatz"
1310,821,"Zürich, Farbhof"
1311,2572,"Zürich, Sternen Oerlikon"
1312,657,"Dietikon, Bahnhof"
1362,1303,"Zürich, Im Ebnet"
1366,2983,Zentrum Glatt
1370,2986,"Regensdorf, Zentrum"
1372,1228,"Dübendorf, Hoffnung"
1377,6506,"Kloten Balsberg, Bahnhof"
1378,6507,"Rümlang, Bäuler"
1379,6508,"Glattbrugg, Lindberghplatz"
1392,3241,"Wallisellen, Florastrasse"
1393,2329,"Zürich, Schürgistrasse"
1398,3246,"Glattbrugg, Giebeleichstrasse"
1405,2277,"Kilchberg ZH,Schulhaus Dorfstr"
1406,1278,"Zürich, Hölderlinstrasse"
1407,1457,"Kilchberg ZH, Kreuzstrasse"
1417,1542,"Rümlang, Letten"
1437,632,"Volketswil, Volkiland Chliriet"
1443,1552,"Zürich, Leutschenbach"
1452,994,"Glattbrugg, Bahnhof"
1454,1156,"Zürich, Heizenholz"
1456,6346,"Dübendorf, Sonnental"
1475,2422,"Dübendorf, Breitibach"
1499,1710,"Zürich, Neubühl"
1500,2547,"Zürich, Bahnhof Leimbach"
1501,2294,"Zürich, Schwamendingerplatz"
1502,2556,"Zürich, Stauffacher"
1503,1389,"Zürich, Kienastenwies"
1504,1643,"Zürich, Milchbuck"
1509,1577,"Kilchberg ZH, Lindt & Sprüngli"
1510,6594,"Adliswil, Ahornweg"
1511,1660,"Zürich, Morgental"
1517,2751,"Unterengstringen, Sennenbüel N"
1518,2580,"Kilchberg ZH, Stockengut"
1520,831,"Urdorf, Feldegg"
1521,589,"Kilchberg ZH, Bächlerstrasse"
1522,2767,"Urdorf Weihermatt, Bahnhof"
1523,1595,"Zürich, Lägernstrasse"
1524,3775,"Kilchberg ZH, Bendlikon"
1525,2017,"Zürich, Radiostudio"
1526,1018,"Kilchberg ZH, Gottlieb-Binder"
1527,948,"Weiningen ZH, Gemeindehaus"
1528,1861,"Zürich, Paradeplatz"
1530,3796,"Kilchberg ZH, Mythenstrasse"
1531,2124,"Zürich, Römerhof"
1532,1215,"Zürich, Hirschwiesenstrasse"
1533,2304,"Kilchberg ZH, Schwelle"
1534,6238,"Zürich, Werd"
1535,48,"Zürich, Albisriederplatz"
1536,1227,"Adliswil, Hofackerstrasse"
1537,2237,"Schlieren, Zentrum"
1538,2239,"Kilchberg ZH, Schlimbergstr."
1539,2158,"Zürich, Schaffhauserplatz"
1540,6347,"Schlieren, Bahnhof"
1541,412,"Zürich, Bahnhofplatz/HB"
1542,413,"Zürich, Bahnhofquai/HB"
1543,1334,"Zürich, Universität Irchel"
1552,6447,"Rüschlikon, Loorain"
1553,6448,"Rüschlikon, Eggrain"
1557,3042,"Zürich, Bahnhof Wiedikon"
1565,440,"Zürich, Bellevue"
1571,872,"Zürich, Frankental"
1574,799,"Zürich, Escher-Wyss-Platz"
1580,88,"Zürich, Altried (Zone 10)"
1581,1176,"Wallisellen, Herti"
1596,2346,"Zürich, Seebach"
1598,1259,"Zürich, Hungerbergstrasse"
1628,99,"Thalwil, Archstrasse"
1638,28,"Adliswil, Bahnhof"
