routeId;routeNo;branchId;branchNameShort;branchName
305;2;15;VBZ01;Tram
306;3;15;VBZ01;Tram
307;4;15;VBZ01;Tram
308;5;15;VBZ01;Tram
309;6;15;VBZ01;Tram
261;7;15;VBZ01;Tram
310;8;15;VBZ01;Tram
379;9;15;VBZ01;Tram
223;10;15;VBZ01;Tram
380;11;15;VBZ01;Tram
90;12;15;VBZ01;Tram
381;13;15;VBZ01;Tram
382;14;15;VBZ01;Tram
311;15;15;VBZ01;Tram
373;16;15;VBZ01;Tram
374;17;15;VBZ01;Tram
375;18;15;VBZ01;Tram
312;19;15;VBZ01;Tram
376;20;25;VBZ15;Seilbahn Rigiblick
377;21;20;VBZ03;Bus
313;22;20;VBZ03;Bus
314;23;25;VBZ15;Seilbahn Rigiblick
315;24;25;VBZ15;Seilbahn Rigiblick
316;25;15;VBZ01;Tram
378;27;22;VBZ04;Quartierbus
317;29;22;VBZ04;Quartierbus
318;31;7;VBZ02;Trolleybus
383;32;7;VBZ02;Trolleybus
319;33;7;VBZ02;Trolleybus
320;34;7;VBZ02;Trolleybus
301;35;22;VBZ04;Quartierbus
396;37;20;VBZ03;Bus
322;38;22;VBZ04;Quartierbus
323;39;22;VBZ04;Quartierbus
324;40;22;VBZ04;Quartierbus
325;46;7;VBZ02;Trolleybus
326;54;20;VBZ03;Bus
297;61;20;VBZ03;Bus
294;62;20;VBZ03;Bus
300;63;20;VBZ03;Bus
327;64;22;VBZ04;Quartierbus
328;66;20;VBZ03;Bus
329;67;20;VBZ03;Bus
330;69;20;VBZ03;Bus
331;70;20;VBZ03;Bus
332;72;7;VBZ02;Trolleybus
333;73;22;VBZ04;Quartierbus
334;75;20;VBZ03;Bus
335;76;20;VBZ03;Bus
336;77;20;VBZ03;Bus
302;78;20;VBZ03;Bus
337;79;22;VBZ04;Quartierbus
338;80;20;VBZ03;Bus
339;89;20;VBZ03;Bus
340;91;24;VBZ10;AZZK
298;94;20;VBZ03;Bus
341;95;20;VBZ03;Bus
342;161;17;VBZ06;Region VBZ
257;162;12;VBZ11;AHW
258;163;12;VBZ11;AHW
303;165;17;VBZ06;Region VBZ
106;184;17;VBZ06;Region VBZ
107;185;17;VBZ06;Region VBZ
262;301;18;VBZ07;Limmatbus AG
263;302;18;VBZ07;Limmatbus AG
264;303;18;VBZ07;Limmatbus AG
304;304;17;VBZ06;Region VBZ
265;305;18;VBZ07;Limmatbus AG
266;306;18;VBZ07;Limmatbus AG
343;307;17;VBZ06;Region VBZ
267;308;18;VBZ07;Limmatbus AG
268;309;18;VBZ07;Limmatbus AG
269;311;18;VBZ07;Limmatbus AG
270;314;18;VBZ07;Limmatbus AG
344;323;17;VBZ06;Region VBZ
345;324;18;VBZ07;Limmatbus AG
271;325;18;VBZ07;Limmatbus AG
272;330;18;VBZ07;Limmatbus AG
346;331;17;VBZ06;Region VBZ
347;341;23;VBZ05;Nachtbus
348;342;23;VBZ05;Nachtbus
349;343;23;VBZ05;Nachtbus
350;344;23;VBZ05;Nachtbus
351;345;23;VBZ05;Nachtbus
352;346;23;VBZ05;Nachtbus
353;347;23;VBZ05;Nachtbus
354;348;23;VBZ05;Nachtbus
355;349;23;VBZ05;Nachtbus
356;352;23;VBZ05;Nachtbus
357;391;23;VBZ05;Nachtbus
358;392;23;VBZ05;Nachtbus
359;394;23;VBZ05;Nachtbus
360;395;23;VBZ05;Nachtbus
361;396;23;VBZ05;Nachtbus
362;397;23;VBZ05;Nachtbus
363;398;23;VBZ05;Nachtbus
385;411;26;VBZ16;Museumslinien
387;412;26;VBZ16;Museumslinien
386;413;26;VBZ16;Museumslinien
384;414;26;VBZ16;Museumslinien
65;418;14;VBZ12;Forchbahn
364;743;17;VBZ06;Region VBZ
365;744;17;VBZ06;Region VBZ
299;747;21;VBZ08;Andres
366;751;17;VBZ06;Region VBZ
296;753;21;VBZ08;Andres
295;786;21;VBZ08;Andres
367;910;24;VBZ10;AZZK
368;912;24;VBZ10;AZZK
369;916;24;VBZ10;AZZK
370;917;24;VBZ10;AZZK
371;918;24;VBZ10;AZZK
372;919;24;VBZ10;AZZK
