vehicleId;vehicleTechnicalID;vehicleTypeShort;vehicleTypeLong;vehicleNumberSeat;vehicleNumberStanding
579;101ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
580;102ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
581;103ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
583;104ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
584;105ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
585;106ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
586;107ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
587;108ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
588;109ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
987;10AT;ATE SB;ATE Standardbus VBG;0;0
912;10LI;Sbus;VBZ Standardbus;33;24
589;110ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
590;111ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
591;112ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
592;113ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
593;114ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
594;115ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
595;116ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
596;117ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
597;118ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
598;119ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
988;11AT;ATE SB;ATE Standardbus VBG;0;0
913;11LI;Sbus;VBZ Standardbus;33;24
599;120ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
600;121ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
601;122ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
972;123ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
602;124ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
952;125ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
603;126ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
604;127ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
605;128ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
606;129ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
994;12AT;ATE SB;ATE Standardbus VBG;0;0
914;12LI;Sbus;VBZ Standardbus;33;24
607;130ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
608;131ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
609;132ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
610;133ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
611;134ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
612;135ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
613;136ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
614;137ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
615;138ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
616;139ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
995;13AT;ATE SB;ATE Standardbus VBG;0;0
915;13LI;Sbus;VBZ Standardbus;33;24
617;140ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
618;141ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
619;142ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
953;143ZH;Trol;VBZ Trolleybus O405 GTZ;43;48
459;144ZH;HTrol;VBZ Hess-Trolleybus;45;52
464;145ZH;HTrol;VBZ Hess-Trolleybus;45;52
465;146ZH;HTrol;VBZ Hess-Trolleybus;45;52
466;147ZH;HTrol;VBZ Hess-Trolleybus;45;52
